date,rented_bike_count,hour,temp_celcius,humidity_percent,wind_speed_m_per_s,visibility_10m,dew_point_temp_celcius,solar_radiation_mj_per_m2,rainfall_mm,snowfall_cm,seasons,holiday,functioning_day
03/12/2017,333,12,58,85,17,0.16320324379118095,34,0.43,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,495,13,68,81,19,0.1839837810440953,37,0.6,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,563,14,76,76,12,0.2002027369488089,36,0.69,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,621,15,80,73,16,0.20577800304105423,34,0.53,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,598,16,76,77,16,0.188545362392296,38,0.2,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,545,17,67,82,15,0.16776482513938165,38,0.05,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,443,18,60,84,19,0.15205271160669032,34,0.0,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,422,19,57,85,17,0.1429295489102889,33,0.0,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,397,20,52,87,14,0.11454637607704005,32,0.0,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,385,21,47,87,12,0.11150532184490625,27,0.0,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,350,22,43,89,18,0.08819057273188038,26,0.0,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,303,23,39,90,13,0.08464267612772428,24,0.0,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,285,0,42,88,6,0.0957932083122149,23,0.0,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,186,1,43,87,5,0.09832742017232642,23,0.0,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,112,2,44,87,18,0.0912316269640142,24,0.0,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,65,3,36,85,23,0.09072478459199189,13,0.0,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,41,4,28,89,15,0.052204764318297014,11,0.0,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,82,5,20,83,27,0.11454637607704005,-5,0.0,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,200,6,12,76,37,0.17435377597567156,-25,0.0,0.1,0.0,Winter,No Holiday,Yes
04/12/2017,498,7,2,68,34,0.3421186011150532,-50,0.0,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,937,8,-8,69,35,0.4698428788646731,-57,0.01,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,509,9,-15,47,42,0.9432336543335023,-113,0.22,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,311,10,-11,40,45,1.0,-130,0.64,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,379,11,-5,41,41,0.8981246832235175,-121,0.94,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,393,12,-3,38,48,0.9102889001520527,-129,1.11,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,391,13,0,30,54,0.9685757729346173,-155,1.17,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,338,14,1,27,45,1.0,-167,1.09,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,341,15,-1,25,58,1.0,-178,0.88,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,375,16,-2,23,47,1.0,-188,0.55,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,515,17,-13,26,53,1.0,-183,0.18,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,807,18,-21,29,39,1.0,-177,0.0,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,568,19,-29,32,32,1.0,-173,0.0,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,398,20,-36,38,30,1.0,-158,0.0,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,397,21,-46,43,45,1.0,-153,0.0,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,353,22,-53,45,25,1.0,-153,0.0,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,248,23,-58,44,24,1.0,-161,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,216,0,-61,42,26,1.0,-169,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,198,1,-65,41,28,1.0,-176,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,124,2,-68,41,25,1.0,-178,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,62,3,-69,39,20,1.0,-185,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,42,4,-72,34,30,1.0,-204,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,82,5,-74,33,26,1.0,-209,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,172,6,-74,34,32,1.0,-206,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,381,7,-75,33,22,1.0,-210,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,812,8,-81,36,16,1.0,-205,0.01,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,462,9,-76,31,13,0.9868220983274201,-218,0.21,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,269,10,-55,26,28,0.983274201723264,-220,0.64,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,334,11,-39,25,0,0.9792194627470856,-210,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,321,12,-23,25,0,0.9807399898631525,-197,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,325,13,-16,27,0,0.9771920932589964,-182,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,334,14,-11,28,0,1.0,-173,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,353,15,-7,28,0,1.0,-169,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,435,16,-5,30,0,1.0,-160,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,529,17,-16,35,0,1.0,-151,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,789,18,-26,40,0,1.0,-144,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,597,19,-32,45,0,1.0,-135,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,418,20,-35,46,0,1.0,-134,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,415,21,-37,47,0,1.0,-133,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,393,22,-28,49,0,1.0,-120,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,244,23,-25,59,0,0.5995945261023821,-94,0.0,0.0,0.0,Winter,No Holiday,Yes
06/12/2017,145,0,-28,77,0,0.15408008109477953,-62,0.0,0.1,0.1,Winter,No Holiday,Yes
06/12/2017,144,1,-30,79,0,0.13482007095793208,-61,0.0,0.0,0.3,Winter,No Holiday,Yes
06/12/2017,117,2,-30,79,0,0.9300557526609224,-61,0.0,0.0,0.4,Winter,No Holiday,Yes
06/12/2017,78,3,-32,78,0,0.9026862645717182,-64,0.0,0.2,0.4,Winter,No Holiday,Yes
06/12/2017,58,4,-34,75,0,0.9908768373035985,-72,0.0,0.0,0.4,Winter,No Holiday,Yes
06/12/2017,87,5,-36,76,0,0.966548403446528,-72,0.0,0.0,0.4,Winter,No Holiday,Yes
06/12/2017,142,6,-37,76,0,0.931069437404967,-73,0.0,0.0,0.4,Winter,No Holiday,Yes
06/12/2017,379,7,-42,77,0,0.868727825646224,-76,0.0,0.0,0.3,Winter,No Holiday,Yes
06/12/2017,802,8,-42,78,0,0.7557019766852509,-74,0.01,0.0,0.2,Winter,No Holiday,Yes
06/12/2017,440,9,-33,70,0,0.6573745565129244,-79,0.25,0.0,0.2,Winter,No Holiday,Yes
06/12/2017,307,10,-9,64,0,0.6066903193106943,-68,0.63,0.0,0.2,Winter,No Holiday,Yes
06/12/2017,381,11,16,57,12,0.6254434870755194,-60,0.93,0.0,0.0,Winter,No Holiday,Yes
06/12/2017,405,12,24,52,9,0.6066903193106943,-64,1.08,0.0,0.0,Winter,No Holiday,Yes
06/12/2017,442,13,42,47,11,0.7308667004561581,-61,1.1,0.0,0.0,Winter,No Holiday,Yes
06/12/2017,416,14,55,34,10,0.9827673593512417,-91,0.96,0.0,0.0,Winter,No Holiday,Yes
06/12/2017,412,15,55,31,31,0.9837810440952863,-103,0.72,0.0,0.0,Winter,No Holiday,Yes
06/12/2017,496,16,53,37,29,1.0,-82,0.36,0.0,0.0,Winter,No Holiday,Yes
06/12/2017,239,17,41,60,25,0.779523568170299,-29,0.1,0.0,0.0,Winter,No Holiday,Yes
06/12/2017,204,18,17,90,10,0.019766852508869746,2,0.0,0.3,0.3,Winter,No Holiday,Yes
06/12/2017,205,19,12,92,7,0.07754688291941207,0,0.0,0.0,1.0,Winter,No Holiday,Yes
06/12/2017,190,20,12,94,6,0.10187531677648251,3,0.0,0.0,1.0,Winter,No Holiday,Yes
06/12/2017,165,21,11,92,5,0.10542321338063862,0,0.0,0.7,1.0,Winter,No Holiday,Yes
06/12/2017,222,22,13,92,6,0.10440952863659402,1,0.0,0.0,1.0,Winter,No Holiday,Yes
06/12/2017,193,23,13,92,6,0.0922453117080588,1,0.0,0.0,1.0,Winter,No Holiday,Yes
07/12/2017,198,0,14,92,5,0.10795742524075012,2,0.0,0.0,0.9,Winter,No Holiday,Yes
07/12/2017,218,1,15,92,4,0.10136847440446022,3,0.0,0.0,0.9,Winter,No Holiday,Yes
07/12/2017,149,2,14,92,7,0.07146477445514446,2,0.0,0.0,0.9,Winter,No Holiday,Yes
07/12/2017,102,3,19,91,14,0.0968068930562595,5,0.0,0.0,0.9,Winter,No Holiday,Yes
07/12/2017,62,4,16,92,7,0.046629498226051704,4,0.0,0.0,0.9,Winter,No Holiday,Yes
07/12/2017,83,5,15,92,11,0.07501267105930055,3,0.0,0.0,0.9,Winter,No Holiday,Yes
07/12/2017,137,6,10,93,5,0.06132792701469843,0,0.0,0.0,0.9,Winter,No Holiday,Yes
07/12/2017,367,7,3,93,5,0.07399898631525596,-7,0.0,0.0,0.9,Winter,No Holiday,Yes
07/12/2017,754,8,-2,96,8,0.07399898631525596,-7,0.01,0.0,0.8,Winter,No Holiday,Yes
07/12/2017,415,9,1,91,8,0.12062848454130765,-11,0.14,0.0,0.8,Winter,No Holiday,Yes
07/12/2017,321,10,11,83,7,0.1439432336543335,-14,0.41,0.0,0.7,Winter,No Holiday,Yes
07/12/2017,333,11,23,69,17,0.30461226558540294,-28,0.63,0.0,0.6,Winter,No Holiday,Yes
07/12/2017,431,12,37,65,24,0.40851495184997466,-22,0.98,0.0,0.3,Winter,No Holiday,Yes
07/12/2017,394,13,41,37,31,0.8819057273188038,-93,1.14,0.0,0.0,Winter,No Holiday,Yes
07/12/2017,390,14,44,36,27,0.9873289406994423,-94,1.04,0.0,0.0,Winter,No Holiday,Yes
07/12/2017,430,15,40,35,31,0.9807399898631525,-101,0.84,0.0,0.0,Winter,No Holiday,Yes
07/12/2017,471,16,32,38,29,0.9072478459199188,-97,0.51,0.0,0.0,Winter,No Holiday,Yes
07/12/2017,552,17,21,50,20,0.7131272174353775,-72,0.15,0.0,0.0,Winter,No Holiday,Yes
07/12/2017,795,18,7,46,27,0.7759756715661429,-96,0.0,0.0,0.0,Winter,No Holiday,Yes
07/12/2017,507,19,-4,47,25,0.6294982260516979,-103,0.0,0.0,0.0,Winter,No Holiday,Yes
07/12/2017,390,20,-14,47,25,0.8073998986315255,-112,0.0,0.0,0.0,Winter,No Holiday,Yes
07/12/2017,402,21,-22,46,22,0.9873289406994423,-122,0.0,0.0,0.0,Winter,No Holiday,Yes
07/12/2017,389,22,-27,48,26,0.920932589964521,-122,0.0,0.0,0.0,Winter,No Holiday,Yes
07/12/2017,259,23,-32,50,21,0.9427268119614799,-121,0.0,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,233,0,-35,49,26,0.9457678661936137,-126,0.0,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,230,1,-37,50,25,0.9503294475418145,-126,0.0,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,131,2,-43,53,10,0.9584389254941713,-124,0.0,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,99,3,-48,52,16,0.9888494678155093,-131,0.0,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,71,4,-53,53,24,0.9675620881905727,-134,0.0,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,84,5,-58,56,20,0.9700963000506841,-131,0.0,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,158,6,-60,56,35,0.9254941713127217,-133,0.0,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,387,7,-65,57,8,0.8864673086670045,-136,0.0,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,780,8,-70,59,8,0.7764825139381651,-136,0.01,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,395,9,-67,50,9,0.742524075012671,-154,0.23,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,261,10,-53,44,28,0.7546882919412062,-156,0.63,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,310,11,-37,39,14,0.794728839330968,-156,0.93,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,355,12,-20,30,14,0.862138874809934,-173,1.14,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,354,13,-17,28,18,0.9812468322351748,-178,1.22,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,350,14,-13,27,31,0.9523568170299036,-179,1.12,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,362,15,-8,26,33,0.988342625443487,-179,0.87,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,401,16,-11,24,34,1.0,-191,0.56,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,500,17,-24,30,27,1.0,-176,0.18,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,752,18,-31,33,12,1.0,-171,0.0,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,477,19,-33,35,11,1.0,-166,0.0,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,384,20,-33,34,15,1.0,-169,0.0,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,336,21,-33,35,5,1.0,-166,0.0,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,347,22,-34,39,12,1.0,-154,0.0,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,275,23,-35,43,9,1.0,-143,0.0,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,267,0,-35,48,9,0.983274201723264,-129,0.0,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,296,1,-41,49,6,1.0,-132,0.0,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,237,2,-47,50,7,0.9913836796756208,-135,0.0,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,169,3,-43,47,6,0.9959452610238215,-139,0.0,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,96,4,-43,49,7,1.0,-134,0.0,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,56,5,-47,49,8,0.9994931576279777,-138,0.0,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,76,6,-51,53,9,0.9873289406994423,-132,0.0,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,127,7,-55,56,8,0.9746578813988849,-129,0.0,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,222,8,-54,56,7,0.9695894576786619,-128,0.01,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,291,9,-47,48,10,0.8905220476431829,-140,0.23,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,273,10,-22,42,13,0.8205778003041053,-134,0.61,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,351,11,0,45,11,0.7465788139888494,-105,0.89,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,427,12,24,40,8,0.9031931069437404,-98,1.05,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,431,13,39,36,20,0.8489609731373542,-98,1.13,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,486,14,47,32,22,0.9736441966548403,-106,1.06,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,569,15,52,30,20,0.9812468322351748,-110,0.84,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,546,16,44,33,16,0.9812468322351748,-105,0.4,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,481,17,35,37,18,0.9812468322351748,-98,0.1,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,384,18,25,41,10,0.9868220983274201,-94,0.0,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,275,19,15,48,4,0.9381652306132792,-83,0.0,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,298,20,8,51,14,0.9229599594526102,-82,0.0,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,321,21,-1,55,7,0.8246325392802838,-80,0.0,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,289,22,-5,55,6,0.825139381652306,-84,0.0,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,265,23,-1,54,13,0.7820577800304105,-83,0.0,0.0,0.0,Winter,No Holiday,Yes
10/12/2017,326,0,-2,55,10,0.8119614799797262,-81,0.0,0.0,0.0,Winter,No Holiday,Yes
10/12/2017,280,1,-2,54,5,0.8717688798783578,-84,0.0,0.0,0.0,Winter,No Holiday,Yes
10/12/2017,243,2,2,52,7,0.8611251900658895,-85,0.0,0.0,0.0,Winter,No Holiday,Yes
10/12/2017,169,3,3,53,5,0.8722757222503801,-81,0.0,0.0,0.0,Winter,No Holiday,Yes
10/12/2017,71,4,4,52,16,0.9067410035478966,-83,0.0,0.0,0.0,Winter,No Holiday,Yes
10/12/2017,13,5,3,74,10,0.07653319817536747,-37,0.0,0.0,0.7,Winter,No Holiday,Yes
10/12/2017,9,6,-5,90,9,0.03243791180942727,-19,0.0,2.5,2.7,Winter,No Holiday,Yes
10/12/2017,20,7,-4,92,11,0.0476431829700963,-15,0.0,0.0,4.0,Winter,No Holiday,Yes
10/12/2017,35,8,-2,90,12,0.17790167257982767,-16,0.0,0.0,4.1,Winter,No Holiday,Yes
10/12/2017,31,9,2,90,10,0.1409021794221997,-12,0.0,1.6,4.3,Winter,No Holiday,Yes
10/12/2017,19,10,5,91,4,0.05879371515458692,-8,0.0,0.0,4.3,Winter,No Holiday,Yes
10/12/2017,58,11,9,92,9,0.05575266092245312,-2,0.03,0.0,3.9,Winter,No Holiday,Yes
10/12/2017,119,12,23,88,3,0.11049163710086163,5,0.28,0.0,3.1,Winter,No Holiday,Yes
10/12/2017,182,13,33,87,11,0.10288900152052712,13,0.54,0.0,2.1,Winter,No Holiday,Yes
10/12/2017,235,14,42,85,7,0.15103902686264573,18,0.65,0.0,1.4,Winter,No Holiday,Yes
10/12/2017,180,15,67,63,45,0.3487075519513431,1,0.35,0.0,1.0,Winter,No Holiday,Yes
10/12/2017,214,16,54,71,35,0.30157121135326914,5,0.2,0.0,0.5,Winter,No Holiday,Yes
10/12/2017,226,17,36,65,43,0.5240750126710593,-23,0.03,0.0,0.4,Winter,No Holiday,Yes
10/12/2017,210,18,20,61,30,1.0,-47,0.0,0.0,0.0,Winter,No Holiday,Yes
10/12/2017,181,19,16,53,40,1.0,-69,0.0,0.0,0.0,Winter,No Holiday,Yes
10/12/2017,165,20,6,57,39,0.9766852508869741,-69,0.0,0.0,0.0,Winter,No Holiday,Yes
10/12/2017,167,21,0,59,30,0.9300557526609224,-70,0.0,0.0,0.0,Winter,No Holiday,Yes
10/12/2017,152,22,-10,56,47,1.0,-86,0.0,0.0,0.0,Winter,No Holiday,Yes
10/12/2017,148,23,-14,43,43,1.0,-123,0.0,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,125,0,-25,39,34,1.0,-145,0.0,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,111,1,-34,36,38,1.0,-163,0.0,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,67,2,-42,35,34,1.0,-174,0.0,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,45,3,-47,38,24,1.0,-168,0.0,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,44,4,-52,35,32,1.0,-183,0.0,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,86,5,-56,38,32,0.9868220983274201,-176,0.0,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,136,6,-59,39,29,0.9893563101875316,-176,0.0,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,325,7,-60,39,31,0.9979726305119108,-177,0.0,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,653,8,-60,38,36,0.996958945767866,-180,0.01,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,326,9,-59,36,51,0.9700963000506841,-186,0.1,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,212,10,-53,32,45,1.0,-194,0.62,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,226,11,-47,36,38,1.0,-175,1.0,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,247,12,-52,33,46,0.9863152559553978,-190,1.26,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,241,13,-54,32,51,0.9929042067916878,-195,1.24,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,253,14,-54,31,41,0.9721236695387734,-199,1.13,0.0,0.0,Winter,No Holiday,Yes
