date,rented_bike_count,hour,temp_celcius,humidity_percent,wind_speed_m_per_s,visibility_10m,dew_point_temp_celcius,solar_radiation_mj_per_m2,rainfall_mm,snowfall_cm,seasons,holiday,functioning_day,day_of_week,holiday_code,functioning_day_code,seasons_code
2017-02-12,328,0,-18,87,11,0.4901165737455651,-36,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,308,1,-22,86,6,0.4880892042574759,-42,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,262,2,-29,86,15,0.622909275215408,-49,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,167,3,-35,81,22,0.6051697921946274,-62,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,89,4,-38,79,20,0.5778003041054232,-69,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,79,5,-40,79,15,0.5955397871262037,-71,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,70,6,-43,82,21,0.5833755701976685,-69,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,146,7,-44,81,25,0.633046122655854,-71,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,219,8,-42,79,21,0.7141409021794222,-73,0.01,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,328,9,-29,68,16,0.7399898631525595,-79,0.3,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,334,10,-4,57,16,0.64977192093259,-78,0.8,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,388,11,19,49,18,0.6989356310187531,-77,1.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,479,12,43,41,13,0.8307146477445514,-78,1.09,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,606,13,60,36,18,0.8884946781550938,-79,1.12,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,611,14,73,35,13,0.9771920932589964,-71,0.99,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,589,15,76,41,23,0.9761784085149517,-48,0.74,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,618,16,64,48,26,0.9721236695387734,-38,0.22,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,572,17,60,51,25,0.9447541814495691,-33,0.06,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,489,18,55,53,15,0.8464267612772427,-33,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,385,19,50,52,23,0.8307146477445514,-40,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,359,20,46,51,12,0.789660415610745,-46,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,377,21,41,55,12,0.7202230106436898,-41,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,354,22,35,54,15,0.7192093258996451,-49,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-02-12,366,23,40,56,10,0.6715661429295489,-40,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,342,0,40,58,14,0.6431829700963,-35,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,227,1,39,69,17,0.2321338063862139,-12,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,228,2,33,79,14,0.40699442473390773,0,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,117,3,34,71,16,0.4987328940699442,-13,0.0,0.5,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,76,4,35,73,10,0.5235681702990369,-8,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,32,5,39,75,19,0.44956918398378104,-1,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,13,6,34,86,25,0.12721743537759758,12,0.0,1.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,22,7,31,91,12,0.051697921946274705,17,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,85,8,32,92,18,0.10998479472883933,20,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,152,9,35,91,18,0.10339584389254942,21,0.02,2.5,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,200,10,44,89,22,0.11657374556512926,27,0.24,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,273,11,51,87,14,0.14901165737455652,31,0.25,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,333,12,58,85,17,0.16320324379118095,34,0.43,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,495,13,68,81,19,0.1839837810440953,37,0.6,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,563,14,76,76,12,0.2002027369488089,36,0.69,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,621,15,80,73,16,0.20577800304105423,34,0.53,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,598,16,76,77,16,0.188545362392296,38,0.2,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,545,17,67,82,15,0.16776482513938165,38,0.05,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,443,18,60,84,19,0.15205271160669032,34,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,422,19,57,85,17,0.1429295489102889,33,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,397,20,52,87,14,0.11454637607704005,32,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,385,21,47,87,12,0.11150532184490625,27,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,350,22,43,89,18,0.08819057273188038,26,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-03-12,303,23,39,90,13,0.08464267612772428,24,0.0,0.0,0.0,Winter,No Holiday,Yes,Sunday,0,1,3
2017-04-12,285,0,42,88,6,0.0957932083122149,23,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,186,1,43,87,5,0.09832742017232642,23,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,112,2,44,87,18,0.0912316269640142,24,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,65,3,36,85,23,0.09072478459199189,13,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,41,4,28,89,15,0.052204764318297014,11,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,82,5,20,83,27,0.11454637607704005,-5,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,200,6,12,76,37,0.17435377597567156,-25,0.0,0.1,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,498,7,2,68,34,0.3421186011150532,-50,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,937,8,-8,69,35,0.4698428788646731,-57,0.01,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,509,9,-15,47,42,0.9432336543335023,-113,0.22,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,311,10,-11,40,45,1.0,-130,0.64,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,379,11,-5,41,41,0.8981246832235175,-121,0.94,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,393,12,-3,38,48,0.9102889001520527,-129,1.11,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,391,13,0,30,54,0.9685757729346173,-155,1.17,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,338,14,1,27,45,1.0,-167,1.09,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,341,15,-1,25,58,1.0,-178,0.88,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,375,16,-2,23,47,1.0,-188,0.55,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,515,17,-13,26,53,1.0,-183,0.18,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,807,18,-21,29,39,1.0,-177,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,568,19,-29,32,32,1.0,-173,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,398,20,-36,38,30,1.0,-158,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,397,21,-46,43,45,1.0,-153,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,353,22,-53,45,25,1.0,-153,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-04-12,248,23,-58,44,24,1.0,-161,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-05-12,216,0,-61,42,26,1.0,-169,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,198,1,-65,41,28,1.0,-176,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,124,2,-68,41,25,1.0,-178,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,62,3,-69,39,20,1.0,-185,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,42,4,-72,34,30,1.0,-204,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,82,5,-74,33,26,1.0,-209,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,172,6,-74,34,32,1.0,-206,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,381,7,-75,33,22,1.0,-210,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,812,8,-81,36,16,1.0,-205,0.01,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,462,9,-76,31,13,0.9868220983274201,-218,0.21,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,269,10,-55,26,28,0.983274201723264,-220,0.64,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,334,11,-39,25,0,0.9792194627470856,-210,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,321,12,-23,25,0,0.9807399898631525,-197,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,325,13,-16,27,0,0.9771920932589964,-182,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,334,14,-11,28,0,1.0,-173,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,353,15,-7,28,0,1.0,-169,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,435,16,-5,30,0,1.0,-160,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,529,17,-16,35,0,1.0,-151,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,789,18,-26,40,0,1.0,-144,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,597,19,-32,45,0,1.0,-135,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,418,20,-35,46,0,1.0,-134,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,415,21,-37,47,0,1.0,-133,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,393,22,-28,49,0,1.0,-120,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-05-12,244,23,-25,59,0,0.5995945261023821,-94,0.0,0.0,0.0,Winter,No Holiday,Yes,Friday,0,1,3
2017-06-12,145,0,-28,77,0,0.15408008109477953,-62,0.0,0.1,0.1,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,144,1,-30,79,0,0.13482007095793208,-61,0.0,0.0,0.3,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,117,2,-30,79,0,0.9300557526609224,-61,0.0,0.0,0.4,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,78,3,-32,78,0,0.9026862645717182,-64,0.0,0.2,0.4,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,58,4,-34,75,0,0.9908768373035985,-72,0.0,0.0,0.4,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,87,5,-36,76,0,0.966548403446528,-72,0.0,0.0,0.4,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,142,6,-37,76,0,0.931069437404967,-73,0.0,0.0,0.4,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,379,7,-42,77,0,0.868727825646224,-76,0.0,0.0,0.3,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,802,8,-42,78,0,0.7557019766852509,-74,0.01,0.0,0.2,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,440,9,-33,70,0,0.6573745565129244,-79,0.25,0.0,0.2,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,307,10,-9,64,0,0.6066903193106943,-68,0.63,0.0,0.2,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,381,11,16,57,12,0.6254434870755194,-60,0.93,0.0,0.0,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,405,12,24,52,9,0.6066903193106943,-64,1.08,0.0,0.0,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,442,13,42,47,11,0.7308667004561581,-61,1.1,0.0,0.0,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,416,14,55,34,10,0.9827673593512417,-91,0.96,0.0,0.0,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,412,15,55,31,31,0.9837810440952863,-103,0.72,0.0,0.0,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,496,16,53,37,29,1.0,-82,0.36,0.0,0.0,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,239,17,41,60,25,0.779523568170299,-29,0.1,0.0,0.0,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,204,18,17,90,10,0.019766852508869746,2,0.0,0.3,0.3,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,205,19,12,92,7,0.07754688291941207,0,0.0,0.0,1.0,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,190,20,12,94,6,0.10187531677648251,3,0.0,0.0,1.0,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,165,21,11,92,5,0.10542321338063862,0,0.0,0.7,1.0,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,222,22,13,92,6,0.10440952863659402,1,0.0,0.0,1.0,Winter,No Holiday,Yes,Monday,0,1,3
2017-06-12,193,23,13,92,6,0.0922453117080588,1,0.0,0.0,1.0,Winter,No Holiday,Yes,Monday,0,1,3
2017-07-12,198,0,14,92,5,0.10795742524075012,2,0.0,0.0,0.9,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,218,1,15,92,4,0.10136847440446022,3,0.0,0.0,0.9,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,149,2,14,92,7,0.07146477445514446,2,0.0,0.0,0.9,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,102,3,19,91,14,0.0968068930562595,5,0.0,0.0,0.9,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,62,4,16,92,7,0.046629498226051704,4,0.0,0.0,0.9,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,83,5,15,92,11,0.07501267105930055,3,0.0,0.0,0.9,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,137,6,10,93,5,0.06132792701469843,0,0.0,0.0,0.9,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,367,7,3,93,5,0.07399898631525596,-7,0.0,0.0,0.9,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,754,8,-2,96,8,0.07399898631525596,-7,0.01,0.0,0.8,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,415,9,1,91,8,0.12062848454130765,-11,0.14,0.0,0.8,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,321,10,11,83,7,0.1439432336543335,-14,0.41,0.0,0.7,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,333,11,23,69,17,0.30461226558540294,-28,0.63,0.0,0.6,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,431,12,37,65,24,0.40851495184997466,-22,0.98,0.0,0.3,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,394,13,41,37,31,0.8819057273188038,-93,1.14,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,390,14,44,36,27,0.9873289406994423,-94,1.04,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,430,15,40,35,31,0.9807399898631525,-101,0.84,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,471,16,32,38,29,0.9072478459199188,-97,0.51,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,552,17,21,50,20,0.7131272174353775,-72,0.15,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,795,18,7,46,27,0.7759756715661429,-96,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,507,19,-4,47,25,0.6294982260516979,-103,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,390,20,-14,47,25,0.8073998986315255,-112,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,402,21,-22,46,22,0.9873289406994423,-122,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,389,22,-27,48,26,0.920932589964521,-122,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-07-12,259,23,-32,50,21,0.9427268119614799,-121,0.0,0.0,0.0,Winter,No Holiday,Yes,Wednesday,0,1,3
2017-08-12,233,0,-35,49,26,0.9457678661936137,-126,0.0,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,230,1,-37,50,25,0.9503294475418145,-126,0.0,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,131,2,-43,53,10,0.9584389254941713,-124,0.0,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,99,3,-48,52,16,0.9888494678155093,-131,0.0,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,71,4,-53,53,24,0.9675620881905727,-134,0.0,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,84,5,-58,56,20,0.9700963000506841,-131,0.0,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,158,6,-60,56,35,0.9254941713127217,-133,0.0,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,387,7,-65,57,8,0.8864673086670045,-136,0.0,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,780,8,-70,59,8,0.7764825139381651,-136,0.01,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,395,9,-67,50,9,0.742524075012671,-154,0.23,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,261,10,-53,44,28,0.7546882919412062,-156,0.63,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,310,11,-37,39,14,0.794728839330968,-156,0.93,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,355,12,-20,30,14,0.862138874809934,-173,1.14,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,354,13,-17,28,18,0.9812468322351748,-178,1.22,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,350,14,-13,27,31,0.9523568170299036,-179,1.12,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,362,15,-8,26,33,0.988342625443487,-179,0.87,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,401,16,-11,24,34,1.0,-191,0.56,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,500,17,-24,30,27,1.0,-176,0.18,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,752,18,-31,33,12,1.0,-171,0.0,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,477,19,-33,35,11,1.0,-166,0.0,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,384,20,-33,34,15,1.0,-169,0.0,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,336,21,-33,35,5,1.0,-166,0.0,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,347,22,-34,39,12,1.0,-154,0.0,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-08-12,275,23,-35,43,9,1.0,-143,0.0,0.0,0.0,Winter,No Holiday,Yes,Saturday,0,1,3
2017-09-12,267,0,-35,48,9,0.983274201723264,-129,0.0,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
2017-09-12,296,1,-41,49,6,1.0,-132,0.0,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
2017-09-12,237,2,-47,50,7,0.9913836796756208,-135,0.0,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
2017-09-12,169,3,-43,47,6,0.9959452610238215,-139,0.0,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
2017-09-12,96,4,-43,49,7,1.0,-134,0.0,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
2017-09-12,56,5,-47,49,8,0.9994931576279777,-138,0.0,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
2017-09-12,76,6,-51,53,9,0.9873289406994423,-132,0.0,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
2017-09-12,127,7,-55,56,8,0.9746578813988849,-129,0.0,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
2017-09-12,222,8,-54,56,7,0.9695894576786619,-128,0.01,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
2017-09-12,291,9,-47,48,10,0.8905220476431829,-140,0.23,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
2017-09-12,273,10,-22,42,13,0.8205778003041053,-134,0.61,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
2017-09-12,351,11,0,45,11,0.7465788139888494,-105,0.89,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
2017-09-12,427,12,24,40,8,0.9031931069437404,-98,1.05,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
2017-09-12,431,13,39,36,20,0.8489609731373542,-98,1.13,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
2017-09-12,486,14,47,32,22,0.9736441966548403,-106,1.06,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
2017-09-12,569,15,52,30,20,0.9812468322351748,-110,0.84,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
2017-09-12,546,16,44,33,16,0.9812468322351748,-105,0.4,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
2017-09-12,481,17,35,37,18,0.9812468322351748,-98,0.1,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
2017-09-12,384,18,25,41,10,0.9868220983274201,-94,0.0,0.0,0.0,Winter,No Holiday,Yes,Tuesday,0,1,3
